Distributor Location Code|Distributor Location Name|Distributor Sales Rep Number|Distributor Sales Rep Name|Diversey Rebate Contract Number|Distributor Invoice Number|Date Shipped|Customer Bill-To Account Number|Customer Bill-To Name|Bill-To Address|Bill-To Address2|Bill-To City|Bill-To State|Bill-To Zip|Customer Ship-To Account Number|Customer Ship-To Name|Ship-To Address|Ship-To Address2|Ship-To City|Ship-To State|Ship-To Zip|Diversey Product Code|Diversey Product Description|Quantity|Rebate Amount Requested|UOM|Distributor Extended Cost|Dist SKU code|User Field 1 Code|User Field 1 Description|User Field 2 Code|User Field 2 Description|SIC|HIN
1|Empire Paper|||50025706|693534|2022-01-05|C100305|Great Plains Med Housekeeping||||||26192|Great Plains Regional Medical Center|1801 W 3RD ST||ELK CITY|OK|73644|5104950|FINISH,SIGNATURE UHS,BIB,5GL|3|34.84|CS||SCJ5104950||||||
1|Empire Paper|||50025706|694905|2022-01-12|C100305|Great Plains Med Housekeeping||||||26192|Great Plains Regional Medical Center|1801 W 3RD ST||ELK CITY|OK|73644|93063390|FL CLNR,STRIDE CITRUS,RTD,5L|1|13.74|CS||SCJ93063390||||||
1|Empire Paper|||50025706|697912|2022-01-26|C113500|Stillwater Medical Center||||||29887|Stillwater Medical - Off Site Locations|1323 W 6TH AVE||STILLWATER|OK|74074|3401512|CLNR,ALPHA-HP,J-F,2/2.5LT|2|14.98|CS||DRK3401512||||||
1|Empire Paper|||50025706|697949|2022-01-26|C110962|Muskogee County EMS||||||15046|Muskogee County EMS|200 CALLAHAN ST||MUSKOGEE|OK|74403|4277285|DISINF,OXIVIR TB,12/32OZ|1|14.95|CS||DRK4277285||||||
1|Empire Paper|||50025706|697949|2022-01-26|C110962|Muskogee County EMS||||||15046|Muskogee County EMS|200 CALLAHAN ST||MUSKOGEE|OK|74403|4963331|DISINF,OXIVIR FIVE,J-F,2/2.5L|2|11.7|CS||SCJ4963331||||||
1|Empire Paper|||50025706|697949|2022-01-26|C110962|Muskogee County EMS||||||15046|Muskogee County EMS|200 CALLAHAN ST||MUSKOGEE|OK|74403|4277285|DISINF,OXIVIR TB,12/32OZ|2|14.95|CS||DRK4277285||||||
1|Empire Paper|||50025713|693393|2022-01-04|C115260|Willis Knighton Medical Center||||||35789|Willis Knighton-WKMC 01.8000|2600 GREENWOOD RD||SHREVEPORT|LA|71103|95765571|POLISH,SHINE UP FURN,12/19OZ|1|15.02|CS||DRK95765571||||||
1|Empire Paper|||50025713|693393|2022-01-04|C115260|Willis Knighton Medical Center||||||35789|Willis Knighton-WKMC 01.8000|2600 GREENWOOD RD||SHREVEPORT|LA|71103|94995295|CLNR,EMEREL MS CREME,12/32OZ|2|12.32|CS||DRK94995295||||||
1|Empire Paper|||50025713|693395|2022-01-04|C115260|Willis Knighton Medical Center||||||35789|Willis Knighton-WKMC 01.8000|2600 GREENWOOD RD||SHREVEPORT|LA|71103|4329|DISINF,VIREX II 256,J-F,2/2.5L|3|14.86|CS||SCJ04329||||||
1|Empire Paper|||50025713|693415|2022-01-04|C115260|Willis Knighton Medical Center||||||34844|WK Warehouse-WKGS 01.8040|2628 PORTLAND AVE||SHREVEPORT|LA|71103|100949179|DEOD,GOOD SENSE,TGARDEN,6/16OZ|1|7.77|CS||DRK100949179||||||
