Distributor Location Code;Distributor Location Name;Distributor Sales Rep Number;Distributor Sales Rep Name;Diversey Rebate Contract Number;Distributor Invoice Number;Date Shipped;Customer Bill-To Account Number;Customer Bill-To Name;Bill-To Address;Bill-To Address2;Bill-To City;Bill-To State;Bill-To Zip;Customer Ship-To Account Number;Customer Ship-To Name;Ship-To Address;Ship-To Address2;Ship-To City;Ship-To State;Ship-To Zip;Diversey Product Code;Diversey Product Description;Quantity;Rebate Amount Requested;UOM;Distributor Extended Cost;Dist SKU code;User Field 1 Code;User Field 1 Description;User Field 2 Code;User Field 2 Description;SIC;HIN
DUMFRIES;DUMFRIES;13;Mark Unroe;;775108;2022-01-12;3004;DUMFRIES-TRIANGLE VFD;P.O. BOX 340;;TRIANGLE;VA;22172;0003004-00003004;DTVFD - FS 03F;STATION # 3 18321 JD HWY;18321 JEFF DAVIS HWY;TRIANGLE;VA;22172;695155;WINDEX 32OZ SPRAY BOTTLE 8/CS ;2;0.2952;CS;29.52;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775122;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008626;FIRE TRAINING BUILDING;4600 WEST OX RD;;FAIRFAX;VA;22030;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;2;0.4571;EA;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775133;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008636;POLICE STATION;9518 FAIRVIEW AVE;;MANASSAS;VA;20110;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;2;0.4571;EA;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775208;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008737;5225 WISCONSIN ;5225 WISCONSIN AVE;;WASHINGTON;DC;;94496138;EMEREL PLUS CREME CLEANSER 12X32OZ REPLACES 4496138 **;2;0.5183;EA;51.83;;;;;;;
DUMFRIES;DUMFRIES;71;Pat Meisels - Bids;;775263;2022-01-12;662;STAFFORD CO PRCF;PO BOX 339;;STAFFORD;VA;22555;0000662-00000663;PUBLIC SAFETY BUILDING;1225 COURTHOUSE RD;;STAFFORD ;VA;22554;695155;WINDEX 32OZ SPRAY BOTTLE 8/CS ;2;0.2952;CS;29.52;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775310;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008791;SOUTH COUNTY BUILDING;8350 RICHMOND HWY;;ALEXANDRIA;VA;22309;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;8;0.4571;EA;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775310;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008791;SOUTH COUNTY BUILDING;8350 RICHMOND HWY;;ALEXANDRIA;VA;22309;LBL91259-1;#5 DIVERSEY VIREX 256 II LABEL ;6;0;EA;0;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775311;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008789;OLD MOUNT VERNON HIGH SCHOOL;8333 RICHMOND HWY;;ALEXANDRIA ;VA;22309;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;4;0.4571;EA;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775314;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008681;PENNINO BUILDING;12011 GOVT CENTER PARKWAY;FELIX 703-478-4900;FAIRFAX;VA;22035;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;6;0.4571;EA;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775314;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008681;PENNINO BUILDING;12011 GOVT CENTER PARKWAY;FELIX 703-478-4900;FAIRFAX;VA;22035;4743;VIREX TB RTU QUAT HOSPITAL DISINFECTANT/CLNR &;1;0.4022;CT;40.22;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775315;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008682;HERRITY BUILDING;12055 GOVT. CENTER PARKWAY;FELIX 703-478-4900;FAIRFAX;VA;22035;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;6;0.4571;EA;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775316;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008727;PUBLIC SAFETY HEADQUARTERS;12099 GOVERNMENT PARKWAY;FELIX 703-478-4900;FAIRFAX;VA;22035;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;4;0.4571;EA;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775317;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008683;HOUSING RESOURCE;3700 PENDER DR;ESVIN 571-244-8228;FAIRFAX;VA;22030;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;2;0.4571;EA;45.71;;;;;;;
DUMFRIES;DUMFRIES;71;Pat Meisels - Bids;;775345;2022-01-10;662;STAFFORD CO PRCF;PO BOX 339;;STAFFORD;VA;22555;0000662-00000662;1300 COURTHOUSE ROAD;ATTN: JOSEPH ANSAH;;STAFFORD;VA;22554;695155;WINDEX 32OZ SPRAY BOTTLE 8/CS ;2;0.2952;CS;29.52;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775378;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008638;DULLES MAIN TERMINAL;MAIN TERMINAL;45425 HOLIDAY DR;STERLING;VA;20166;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;2;0.4571;CS;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775382;2022-01-10;6682;SKATEQUEST;1800 MICHAEL FARRADAY CT;;RESTON;VA;20190;0006682-00000001;SKATEQUEST;1800 MICHAEL FARRADAY CT;;RESTON;VA;20190;696503;WINDEX GLASS CLNR 4GAL/CS ;2;0.3564;CS;35.64;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775398;2022-01-07;4904;ANNAPOLIS AREA CHRISTIAN ;109 BURNS CROSSING ROAD;;SEVERN;MD;21144;0004904-00000003;AACS SEVERN CAMPUS;109 BURNS CROSSING ROAD;THURSDAY DELIVERY (UPPER);SEVERN;MD;21144;93145310;#44 CREW GREEN SEAL RTD BATHROOM CLNR/SCALE REMOVER;1;0.46840000000000004;EA;46.84;;;;;;;
DUMFRIES;DUMFRIES;7;Pat Meisels;;775609;2022-01-14;2991;VOLUNTEERS OF AMERICA CHES INC;7901 ANNAPOLIS ROAD;;LANHAM;MD;20706;0002991-00000035;VOA 431 53RD ST S.E.;VOA 431 53RD ST S.E.;;WASHINGTON;DC;;695155;WINDEX 32OZ SPRAY BOTTLE 8/CS ;2;0.2952;EA;29.52;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775618;2022-01-17;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008638;DULLES MAIN TERMINAL;MAIN TERMINAL;45425 HOLIDAY DR;STERLING;VA;20166;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;2;0.4571;CS;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775642;2022-01-12;2061;C&T JANITORIAL SERVICE;92 QUARRY ROAD;;STAFFORD;VA;22554;0002061-00000001;C&T JANITORIAL SERVICE;92 QUARRY ROAD;;STAFFORD;VA;22554;696503;WINDEX GLASS CLNR 4GAL/CS ;1;0.3564;EA;35.64;;;;;;;
DUMFRIES;DUMFRIES;21;James Homan;;775671;2022-01-13;4560;GOV SERVICES INC;6926 REGENT LN;;FALLS CHURCH;VA;22042;0004560-00000021;EMOC;16700 CRABBS BRANCH WAY;OLD 17000 CRABBS BRANCH WAY;DERWOOD;MD;20855;4705;GLANCE GLASS & SURFACE CLEANER 12/32OZ RTU;8;0.2687;CT;26.87;;;;;;;
DUMFRIES;DUMFRIES;14;Vicky Lutman - Bids;;775686;2022-01-18;6029;CITY OF MANASSAS FIRE & RESCUE;9324 WEST STREET ;SUITE 103;MANASSAS;VA;20110;0006029-00000003;CITY OF MANASSAS FIRE  #1;9322 CENTERVILLE ROAD;;MANASSAS;VA;20110;991206;CLEANER MR MUSCLE OVEN ;1;0.054000000000000006;EA;5.4;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775718;2022-01-14;1207;PHOENIX SERVICES LLC;105 EXECUTIVE DR;SUITE 220;STERLING;VA;20166;0001207-00003500;HUBBARD / CAVALIER APT;3500 14TH STREET NW;8AM-2PM  ***GREEN BLDG***;WASHINGTON;DC;20010;95115958;HD/NON AMMONIATED LOW ODOR BRAVO STRIPPER 5GAL;1;0.4972;PL;49.72;;;;;;;
DUMFRIES;DUMFRIES;21;James Homan;;775720;2022-01-18;4560;GOV SERVICES INC;6926 REGENT LN;;FALLS CHURCH;VA;22042;0004560-00000022;PICCARD/MONTG GAITH DEPOT;1301 PICCARD DR;;ROCKVILLE;MD;;4705;GLANCE GLASS & SURFACE CLEANER 12/32OZ RTU;5;0.2687;CT;26.87;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775873;2022-01-17;2880;GOLDEN GATE SERVICE  INC.;2812 OLD LEE HWY ;SUITE 300;FAIRFAX;VA;22031;0002880-00000050;F&R WAREHOUSE;8410 KAO CIRCLE;;MANASSAS;VA;20110;5104837;IRON STONE ACRYLIC SEAL 5GAL CT;2;0.8392000000000001;CT;83.92;;;;;;;
DUMFRIES;DUMFRIES;15;Vicky Lutman;;775924;2022-01-24;3306;FAIRVIEW BAPTIST CHURCH;900 CHARLOTTE STREET;;FREDERICKSBURG;VA;22401;0003306-00000001;FAIRVIEW BAPTIST CHURCH;900 CHARLOTTE STREET;;FREDERICKSBURG;VA;22401;695155;WINDEX 32OZ SPRAY BOTTLE 8/CS ;1;0.2952;CS;29.52;;;;;;;
DUMFRIES;DUMFRIES;17;Chris Basinger;;775945;2022-01-20;3880;AKCS;673 POTOMAC STATION DR BOX 646;;LEESBURG;VA;20176;0003880-00000051;AVA WHEATON;2425 BLUE RIDGE AVE;***LEASING OFFICE***;SILVER SPRING ;MD;20902;5516217;RTU BATH MATE DISINFECT 12QT/C ** US EPA **;2;0.2343;EA;23.43;;;;;;;
DUMFRIES;DUMFRIES;17;Chris Basinger;;775955;2022-01-20;3880;AKCS;673 POTOMAC STATION DR BOX 646;;LEESBURG;VA;20176;0003880-00000080;GAITHERSBURG STATION;370 E DIAMOND AVE;;GAITHERSBURG;MD;20877;5516217;RTU BATH MATE DISINFECT 12QT/C ** US EPA **;2;0.2343;EA;23.43;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775975;2022-01-19;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008638;DULLES MAIN TERMINAL;MAIN TERMINAL;45425 HOLIDAY DR;STERLING;VA;20166;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;2;0.4571;CS;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775976;2022-01-19;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008639;DULLES CONCOURSE B;CONCOURSE B;45425 HOLIDAY DR;STERLING;VA;20166;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;2;0.4571;CS;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775987;2022-01-20;3276;EVERGREEN JANITORIAL SERV. INC;22560 GLENN DRIVE STE 115; ;STERLING;VA;20164;0003276-00000030;PLAZA RIDGE II;2250 CORPORATE PARK DRIVE;;HERNDON;VA;20171;LBL91637-1;#2 GLANCE NA SECONDARY LABELS ;5;0;EA;0;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;775987;2022-01-20;3276;EVERGREEN JANITORIAL SERV. INC;22560 GLENN DRIVE STE 115; ;STERLING;VA;20164;0003276-00000030;PLAZA RIDGE II;2250 CORPORATE PARK DRIVE;;HERNDON;VA;20171;LBL91259-1;#5 DIVERSEY VIREX 256 II LABEL ;5;0;EA;0;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776005;2022-01-21;3276;EVERGREEN JANITORIAL SERV. INC;22560 GLENN DRIVE STE 115; ;STERLING;VA;20164;0003276-00000093;1999 K STREET;1999 K STREET  NW;;WASHINGTON;DC;20006-1101;4329;VIREX II 256 2/2.5-L J-FILL ** US EPA **;1;0.557;CT;55.7;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776005;2022-01-21;3276;EVERGREEN JANITORIAL SERV. INC;22560 GLENN DRIVE STE 115; ;STERLING;VA;20164;0003276-00000093;1999 K STREET;1999 K STREET  NW;;WASHINGTON;DC;20006-1101;LBL91637-1;#2 GLANCE NA SECONDARY LABELS ;5;0;EA;0;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776005;2022-01-21;3276;EVERGREEN JANITORIAL SERV. INC;22560 GLENN DRIVE STE 115; ;STERLING;VA;20164;0003276-00000093;1999 K STREET;1999 K STREET  NW;;WASHINGTON;DC;20006-1101;LBL91496;#3 STRIDE CITRUS HC NEUTRAL CLEANER SECONDARY LABEL EA;5;0;EA;0;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776005;2022-01-21;3276;EVERGREEN JANITORIAL SERV. INC;22560 GLENN DRIVE STE 115; ;STERLING;VA;20164;0003276-00000093;1999 K STREET;1999 K STREET  NW;;WASHINGTON;DC;20006-1101;LBL91259-1;#5 DIVERSEY VIREX 256 II LABEL ;5;0;EA;0;;;;;;;
DUMFRIES;DUMFRIES;85;MB1-JAMES HOMAN;;776012;2022-01-24;5604;VIRGINIA HILLS BAPTIST CHURCH;6507 TELEGRAPH ROAD;;ALEXANDRIA;VA;22310;0005604-00000001;VIRGINIA HILLS BAPTIST CHURCH;6507 TELEGRAPH ROAD;;ALEXANDRIA;VA;22310;94291110;BREAKDOWN FRESH W/ENZYMNE 4G/CT;1;0.7558;CT;75.58;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776015;2022-01-19;2880;GOLDEN GATE SERVICE  INC.;2812 OLD LEE HWY ;SUITE 300;FAIRFAX;VA;22031;0002880-00000050;F&R WAREHOUSE;8410 KAO CIRCLE;;MANASSAS;VA;20110;5104837;IRON STONE ACRYLIC SEAL 5GAL CT;3;0.8392000000000001;CT;83.92;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776027;2022-01-24;3276;EVERGREEN JANITORIAL SERV. INC;22560 GLENN DRIVE STE 115; ;STERLING;VA;20164;0003276-00000033;SWIFT CULPEPER;1621 MCDEVITT DR;LUZ 703-626-4890;CULPEPER;VA;22701;4329;VIREX II 256 2/2.5-L J-FILL ** US EPA **;2;0.557;CT;55.7;;;;;;;
DUMFRIES;DUMFRIES;85;MB1-JAMES HOMAN;;776048;2022-01-27;5022;ST FRANCIS EPISCOPAL CHURCH;9220 GEORGETOWN PIKE;;GREAT FALLS;VA;22066;0005022-00000002;ST FRANCIS EPISCOPAL CHURCH;9220 GEORGETOWN PIKE;;GREAT FALLS;VA;22066;94291110;BREAKDOWN FRESH W/ENZYMNE 4G/CT;2;0.7558;EA;75.58;;;;;;;
DUMFRIES;DUMFRIES;85;MB1-JAMES HOMAN;;776067;2022-01-24;3413;GRACE EPISCOPAL CHURCH;3601 RUSSELL RD;;ALEXANDRIA;VA;22305;0003413-00000001;GRACE EPISCOPAL CHURCH;3601 RUSSELL RD;;ALEXANDRIA;VA;22305;4743;VIREX TB RTU QUAT HOSPITAL DISINFECTANT/CLNR &;1;0.4022;CT;40.22;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776099;2022-01-24;3276;EVERGREEN JANITORIAL SERV. INC;22560 GLENN DRIVE STE 115; ;STERLING;VA;20164;0003276-00000085;GOOGLE STERLING ;4000 DULLES W BLVD;;STERLING;VA;20166;4329;VIREX II 256 2/2.5-L J-FILL ** US EPA **;1;0.557;CT;55.7;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776100;2022-01-24;3276;EVERGREEN JANITORIAL SERV. INC;22560 GLENN DRIVE STE 115; ;STERLING;VA;20164;0003276-00000086;GOOGLE LEESBURG;20313 ENERGY PARK DR;;LEESBURG;VA;20175;4329;VIREX II 256 2/2.5-L J-FILL ** US EPA **;1;0.557;CT;55.7;;;;;;;
DUMFRIES;DUMFRIES;21;James Homan;;776107;2022-01-25;2410;C.B.M. EXPERTS II;P.O. BOX 6365;;MCLEAN;VA;22106;0002410-00000008;1616 P STREET  N.W.(LOADING;"DOCK ONLY; PORTER VICTOR";OH 703-926-8478;WASHINGTON;DC;20005;93145310;#44 CREW GREEN SEAL RTD BATHROOM CLNR/SCALE REMOVER;1;0.46840000000000004;EA;46.84;;;;;;;
DUMFRIES;DUMFRIES;21;James Homan;;776107;2022-01-25;2410;C.B.M. EXPERTS II;P.O. BOX 6365;;MCLEAN;VA;22106;0002410-00000008;1616 P STREET  N.W.(LOADING;"DOCK ONLY; PORTER VICTOR";OH 703-926-8478;WASHINGTON;DC;20005;93063390;#3 STRIDE CITRUS NEUTRAL CLNR 5 L GREEN SEAL ** GS-37 **;1;0.5818;CT;58.18;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776142;2022-01-27;338;WALKERS CLEANING/CMI;9046 EUCLID AVE;;MANASSAS;VA;20110;0000338-00000001;WALKERS CLEANING/CMI;9046 EUCLID AVE;;MANASSAS;VA;20110;990653;EASY PAK NEUTRAL CLEANER ;2;0.49369999999999997;CT;49.37;;;;;;;
DUMFRIES;DUMFRIES;13;Mark Unroe;;776144;2022-01-26;4480;ACTION FACILITIES MNGMT INC;115 MALONE DRIVE;;MORGANTOWN;WV;26501;0004480-00000003;US DEPT OF STATE (SA-1);2401 E ST. NW;ROOM H141;WASHINGTON;DC;20037;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;1;0.4571;CS;45.71;;;;;;;
DUMFRIES;DUMFRIES;13;Mark Unroe;;776144;2022-01-26;4480;ACTION FACILITIES MNGMT INC;115 MALONE DRIVE;;MORGANTOWN;WV;26501;0004480-00000003;US DEPT OF STATE (SA-1);2401 E ST. NW;ROOM H141;WASHINGTON;DC;20037;696503;WINDEX GLASS CLNR 4GAL/CS ;1;0.3564;CS;35.64;;;;;;;
DUMFRIES;DUMFRIES;13;Mark Unroe;;776144;2022-01-26;4480;ACTION FACILITIES MNGMT INC;115 MALONE DRIVE;;MORGANTOWN;WV;26501;0004480-00000003;US DEPT OF STATE (SA-1);2401 E ST. NW;ROOM H141;WASHINGTON;DC;20037;95002540;RED JUICE REMOVER 32OZ 6/CT ;1;0.8754000000000001;CT;87.54;;;;;;;
DUMFRIES;DUMFRIES;13;Mark Unroe;;776145;2022-01-25;703;QUALITY BUILDING MAINT INC;8993-B COTSWOLD DR STE 3; ;BURKE;VA;22015;0000703-00000009;DULLES SOUTH ;24950 RIDING CENTER DR;;CHANTILLY ;VA;20152;94512759;PROFI INDUSTRIAL DEGREASER GAL/EA;3;0.17550000000000002;CT;17.55;;;;;;;
DUMFRIES;DUMFRIES;21;James Homan;;776171;2022-01-25;5559;ALCAZAR TRADES INC;9901 IH 10 WEST  STE 800;;SAN ANTONIO;TX;78230;0005559-00000002;MT WEATHER EMERGENCY OPS;19844 BLUE RIDGE MOUNTAIN ROAD;;MT WEATHER;VA;20135;723756;PLEDGE LEMON FURNITURE POLISH AEROSOL 14.2 OZ 6/CS;2;0.2945;CT;29.45;;;;;;;
DUMFRIES;DUMFRIES;21;James Homan;;776171;2022-01-25;5559;ALCAZAR TRADES INC;9901 IH 10 WEST  STE 800;;SAN ANTONIO;TX;78230;0005559-00000002;MT WEATHER EMERGENCY OPS;19844 BLUE RIDGE MOUNTAIN ROAD;;MT WEATHER;VA;20135;695155;WINDEX 32OZ SPRAY BOTTLE 8/CS ;1;0.2952;CS;29.52;;;;;;;
DUMFRIES;DUMFRIES;21;James Homan;;776173;2022-01-24;5957;TRUST CONSULTING SERVICES  INC;4 INDUSTRIAL PARK DRIVE STE 4E;;WALDORF;MD;20602;0005957-00000001;TRUST CONSULTING SERVICES  INC;4 INDUSTRIAL PARK DRIVE STE 4E;;WALDORF;MD;20602;5104714;AMPLIFY HI SOLID FINISH 5G CT ;2;0.9666;CT;96.66;;;;;;;
DUMFRIES;DUMFRIES;85;MB1-JAMES HOMAN;;776181;2022-01-31;778;SUITE SERVICES INC.;1019 U ST NW;SUITE 2;WASHINGTON;DC;20009;0000778-00000001;SUITE SERVICES INC.;1019 U ST NW;SUITE 2;WASHINGTON;DC;20009;94039110;HOT SPRING SCRUB(RECOAT CLNR 4)1 GAL 4/CT;1;0.4416;EA;44.16;;;;;;;
DUMFRIES;DUMFRIES;71;Pat Meisels - Bids;;776195;2022-01-27;662;STAFFORD CO PRCF;PO BOX 339;;STAFFORD;VA;22555;0000662-00000662;1300 COURTHOUSE ROAD;ATTN: JOSEPH ANSAH;;STAFFORD;VA;22554;695155;WINDEX 32OZ SPRAY BOTTLE 8/CS ;8;0.2952;CS;29.52;;;;;;;
