Distributor Location Code;Distributor Location Name;Distributor Sales Rep Number;Distributor Sales Rep Name;Diversey Rebate Contract Number;Distributor Invoice Number;Date Shipped;Customer Bill-To Account Number;Customer Bill-To Name;Bill-To Address;Bill-To Address2;Bill-To City;Bill-To State;Bill-To Zip;Customer Ship-To Account Number;Customer Ship-To Name;Ship-To Address;Ship-To Address2;Ship-To City;Ship-To State;Ship-To Zip;Diversey Product Code;Diversey Product Description;Quantity;Rebate Amount Requested;UOM;Distributor Extended Cost;Dist SKU code;User Field 1 Code;User Field 1 Description;User Field 2 Code;User Field 2 Description;SIC;HIN
8300;Fort Smith Paper Co.;7;Bret Wilson;50004426;484168-1;2022-01-31;793500003;Mercy Health;P.O. Box 10386;;Springfield;Missouri;65808-0386;793500003;Mercy Hospital Fort Smith;7301 Rogers Avenue;;Fort Smith;Arkansas;72903;4531;Envy Bathroom Clnr;1;19.36;cs;61.76;DVO04531;1816050-CS;Envy Bathroom Cleaner 12/19 oz;;;;
8300;Fort Smith Paper Co.;7;Bret Wilson;50004426;483607;2022-01-04;793500003;Mercy Health;P.O. Box 10386;;Springfield;Missouri;65808-0386;793500003;Mercy Hospital Fort Smith;7301 Rogers Avenue;;Fort Smith;Arkansas;72903;4531;Envy Bathroom Clnr;1;19.36;cs;61.76;DVO04531;1816050-CS;Envy Bathroom Cleaner 12/19 oz;;;;
8300;Fort Smith Paper Co.;7;Bret Wilson;50004426;483740;2022-01-07;793500003;Mercy Health;P.O. Box 10386;;Springfield;Missouri;65808-0386;793500003;Mercy Hospital Fort Smith;7301 Rogers Avenue;;Fort Smith;Arkansas;72903;4832;End Bac II;1;15.1;cs;66.52;DVO4832;1968010-CS;End Back II Aerosol Disinfectant;;;;
8300;Fort Smith Paper Co.;7;Bret Wilson;50004426;484168;2022-01-21;793500003;Mercy Health;P.O. Box 10386;;Springfield;Missouri;65808-0386;793500003;Mercy Hospital Fort Smith;7301 Rogers Avenue;;Fort Smith;Arkansas;72903;4832;End Bac II;1;15.1;cs;66.52;DVO4832;1968010-CS;End Back II Aerosol Disinfectant;;;;
8300;Fort Smith Paper Co.;7;Bret Wilson;50004426;484352;2022-01-27;793500003;Mercy Health;P.O. Box 10386;;Springfield;Missouri;65808-0386;793500003;Mercy Hospital Fort Smith;7301 Rogers Avenue;;Fort Smith;Arkansas;72903;4832;End Bac II;2;30.2;cs;66.52;DVO4832;1968010-CS;End Back II Aerosol Disinfectant;;;;
8300;Fort Smith Paper Co.;7;Bret Wilson;50004426;484304;2022-01-26;793500003;Mercy Health;P.O. Box 10386;;Springfield;Missouri;65808-0386;793500003;Mercy Hospital Fort Smith;7301 Rogers Avenue;;Fort Smith;Arkansas;72903;100850925;Oxivir 1 Wipes Refill 4x160;5;110.9;cs;115.85;DVO100850925;DVO100850925;"Oxivir 1 Wipes Refill 11"" X 12""";;;;
8300;Fort Smith Paper Co.;7;Bret Wilson;50004426;483736;2022-01-07;793500003;Mercy Health;P.O. Box 10386;;Springfield;Missouri;65808-0386;793500003;Mercy Hospital Fort Smith;7301 Rogers Avenue;;Fort Smith;Arkansas;72903;100850925;Oxivir 1 Wipes Refill 4x160;5;110.9;cs;115.85;DVO100850925;DVO100850925;"Oxivir 1 Wipes Refill 11"" X 12""";;;;
8300;Fort Smith Paper Co.;7;Bret Wilson;50004426;483742;2022-01-07;793500003;Mercy Health;P.O. Box 10386;;Springfield;Missouri;65808-0386;793500003;Mercy Hospital Fort Smith;7301 Rogers Avenue;;Fort Smith;Arkansas;72903;4996;Crew Neutral NA;2;9.12;cs;24.25;DVO100925283;DRK04996;Crew Neutral NA Bowl and Bathroom Clnr;;;;
8300;Fort Smith Paper Co.;7;Bret Wilson;50004426;484255;2022-01-25;793500003;Mercy Health;P.O. Box 10386;;Springfield;Missouri;65808-0386;793500003;Mercy Hospital Fort Smith;7301 Rogers Avenue;;Fort Smith;Arkansas;72903;4996;Crew Neutral NA;2;9.12;cs;24.25;DVO100925283;DRK04996;Crew Neutral NA Bowl and Bathroom Clnr;;;;
8300;Fort Smith Paper Co.;7;Bret Wilson;50004426;483881;2022-01-12;793500003;Mercy Health;P.O. Box 10386;;Springfield;Missouri;65808-0386;793500003;Mercy Hospital Fort Smith;7301 Rogers Avenue;;Fort Smith;Arkansas;72903;4996;Crew Neutral NA;1;4.56;cs;24.25;DVO100925283;DRK04996;Crew Neutral NA Bowl and Bathroom Clnr;;;;
